PMID,FAU
32232976,"Sun, Pengfei # Lu, Xiaosheng # Xu, Chao # Wang, Yanjin # Sun, Wenjuan # Xi, Jianing"
32056249,"Liu, Jia # Zheng, Xin # Tong, Qiaoxia # Li, Wei # Wang, Baoju # Sutter, Kathrin # Trilling, Mirko # Lu, Mengji # Dittmer, Ulf # Yang, Dongliang"
32035431,"Ki, Moran"
31991541,"Gralinski, Lisa E # Menachery, Vineet D"
32298745,"Shi, Hua # Zhou, Chaomin # He, Pinghong # Huang, Sheng # Duan, Youjun # Wang, Xuesheng # Lin, Kexiong # Zhou, Chao # Zhang, Xiangyan # Zha, Yan"
32376714,"Pillay, Tahir S"
32226288,"Yang, Yang # Islam, Md Sahidul # Wang, Jin # Li, Yuan # Chen, Xin"
32065057,"Zhang, Wei # Du, Rong # Li, Bei # Zheng, Xiao # Yang, Xing # Hu, Ben # Wang, Yan # Xiao, Geng # Yan, Bing # Shi, Zheng # Zhou, Peng"
32259477,"Kim, Young # Kim, Seong # Kim, Se # Kim, Eun # Park, Su # Yu, Kwang # Chang, Jae # Kim, Eun Ji # Lee, Seunghun # Casel, Mark Anthony B # Um, Jihye # Song, Min # Jeong, Hye Won # Lai, Van Dam # Kim, Yeonjae # Chin, Bum Sik # Park, Jun # Chung, Ki # Foo, Suan # Poo, Haryoung # Mo, In # Lee, Ok # Webby, Richard J # Jung, Jae U # Choi, Young Ki"
32340531,"Sartor, Zach # Hess, Burritt"
33041814,"Sarkar, Chandan # Mondal, Milon # Torequl Islam, Muhammad # Martorell, Miquel # Docea, Anca Oana # Maroyi, Alfred # Sharifi # Calina, Daniela"
32765482,"Jeong, Gi Uk # Song, Hanra # Yoon, Gun Young # Kim, Doyoun # Kwon, Young"
32247050,"Xie, Mingxuan # Chen, Qiong"
32007627,"Phan, Tung"
32389723,"Yu, Ran # Chen, Liang # Lan, Rong # Shen, Rong # Li, Peng"
32023775,"Ryu, Sukhyun # Chun, Byung Chul"
32109444,"Han, Qingmei # Lin, Qingqing # Jin, Shenhe # You, Liangshun"
32754570,"Ahsan, Waquar # Alhazmi, Hassan A # Patel, Kuldeep Singh # Mangla, Bharti # Al Bratty, Mohammed # Javed, Shamama # Najmi, Asim # Sultan, Muhammad Hadi # Makeen, Hafiz A # Khalid, Asaad # Mohan, Syam # Taha, Manal M E # Sultana, Shahnaz"
32065055,"Tian, Xiaolong # Li, Cheng # Huang, Ailing # Xia, Shuai # Lu, Sicong # Shi, Zhengli # Lu, Lu # Jiang, Shibo # Yang, Zhenlin # Wu, Yanling # Ying, Tianlei"
32353474,"Yin, Changchuan"
32389025,"Piszczatoski, Christopher R # Powell, Jason"
32053148,"Guarner, Jeannette"
32353252,"Abbott, Timothy R # Dhamdhere, Girija # Liu, Yanxia # Lin, Xueqiu # Goudy, Laine # Zeng, Leiping # Chemparathy, Augustine # Chmura, Stephen # Heaton, Nicholas S # Debs, Robert # Pande, Tara # Endy, Drew # La Russa, Marie F # Lewis, David B # Qi, Lei S"
32027036,"Ceraolo, Carmine # Giorgi, Federico M"
32470223,"Stein, Richard A # Young, Lauren M"
32277387,"Liu, Hongling # He, Xi # Wang, Yudong # Zhou, Shuangnan # Zhang, Dali # Zhu, Jiye # He, Qiang # Zhu, Zhijun # Li, Guangming # Sun, Libo # Wang, Jianli # Cheng, Gregory # Liu, Zhenwen # Lau, George"
32301745,"Lin, Chenyao # Xiang, Jie # Yan, Mingzhe # Li, Hongze # Huang, Shuang # Shen, Changxin"
32203189,"Tai, Wanbo # He, Lei # Zhang, Xiujuan # Pu, Jing # Voronin, Denis # Jiang, Shibo # Zhou, Yusen # Du, Lanying"
32335749,"Allaerts, Wilfried"
32164080,"Li, H # Wang, Y M # Xu, J Y # Cao, B"
32674929,"Machiels, Julian D # Bleeker # Ter Heine, Rob # Rahamat # de Mast, Quirijn # Ten Oever, Jaap # Bousema, Teun # van Crevel, Reinout # Wertheim, Heiman Fl"
32087334,"Li, Jin # You, Zhi # Wang, Qiong # Zhou, Zhi # Qiu, Ye # Luo, Rui # Ge, Xing"
32291365,"Tenda, Eric Daniel # Asaf, Moses Mazmur"
32050635,"Schwartz, David A # Graham, Ashley L"
31996437,"Wan, Yushun # Shang, Jian # Graham, Rachel # Baric, Ralph S # Li, Fang"
32595947,"Chakraborty, Surajit # Basu, Anirban"
32778874,"Nain, Zulkar # Rana, Humayan Kabir # Liò, Pietro # Islam, Sheikh Mohammed Shariful # Summers, Matthew A # Moni, Mohammad Ali"
32793544,"Singu, Sravani # Acharya, Arpan # Challagundla, Kishore # Byrareddy, Siddappa N"
32563180,"Jääskeläinen, A J # Kuivanen, S # Kekäläinen, E # Ahava, M J # Loginov, R # Kallio # Vapalahti, O # Jarva, H # Kurkela, S # Lappalainen, M"
32917291,"Rule, Ana M"
32917292,"Lu, Jianyun # Yang, Zhicong"
32425007,"Lang, Guan # Zhao, Hong"
32104884,"Shrestha, Ranish # Shrestha, Sunil # Khanal, Pratik # Kc, Bhuvan"
32022275,"Giovanetti, Marta # Benvenuto, Domenico # Angeletti, Silvia # Ciccozzi, Massimo"
32052373,"Wax, Randy S # Christian, Michael D"
32526937,"Dong, Rui # Pei, Shaojun # Yin, Changchuan # He, Rong Lucy # Yau, Stephen S"
32574265,"Cardone, Marco # Yano, Masahide # Rosenberg, Amy S # Puig, Montserrat"
32117569,"Kruse, Robert L"
32744708,"Yoon, S H # Kang, J # Ahn, J G"
32443899,"Cecconi, Maurizio # Piovani, Daniele # Brunetta, Enrico # Aghemo, Alessio # Greco, Massimiliano # Ciccarelli, Michele # Angelini, Claudio # Voza, Antonio # Omodei, Paolo # Vespa, Edoardo # Pugliese, Nicola # Parigi, Tommaso Lorenzo # Folci, Marco # Danese, Silvio # Bonovas, Stefanos"
32440660,"Muhidin, Salut # Behboodi Moghadam, Zahra # Vizheh, Maryam"
32046819,"Backer, Jantien A # Klinkenberg, Don # Wallinga, Jacco"
32212240,"Lillicrap, David"
32620183,"Lakkasani, Saraswathi # Chan, Kok Hoe # Shaaban, Hamid S"
32302058,"Yan, Ying # Chang, Le # Wang, Lunan"
32538893,"Zheng, Qiuting # Lu, Yibo # Lure, Fleming # Jaeger, Stefan # Lu, Puxuan"
32842818,"Fadaka, Adewale Oluwaseun # Sibuyi, Nicole Remaliah Samantha # Adewale, Olusola Bolaji # Bakare, Olalekan Olanrewaju # Akanbi, Musa Oyebowale # Klein, Ashwil # Madiehe, Abram Madimabe # Meyer, Mervin"
32201449,"Prajapat, Manisha # Sarma, Phulen # Shekhar, Nishant # Avti, Pramod # Sinha, Shweta # Kaur, Hardeep # Kumar, Subodh # Bhattacharyya, Anusuya # Kumar, Harish # Bansal, Seema # Medhi, Bikash"
32681935,"Hafiane, Anouar"
32224986,"Khurshid, Zohaib # Asiri, Faris Yahya Ibrahim # Al Wadaani, Hamed"
32052841,"Wilder # Freedman, D O"
32160148,"Wu, Xiaojing # Cai, Ying # Huang, Xu # Yu, Xin # Zhao, Li # Wang, Fan # Li, Quanguo # Gu, Sichao # Xu, Teng # Li, Yongjun # Lu, Binghuai # Zhan, Qingyuan"
32644275,"Giovane, Richard A # Rezai, Shadi # Cleland, Ellen # Henderson, Cassandra E"
32393419,"Zhang, W # Zhang, P # Wang, G # Cheng, W # Chen, J # Zhang, X"
32503817,"Bimonte, Sabrina # Crispo, Anna # Amore, Alfonso # Celentano, Egidio # Cuomo, Arturo # Cascella, Marco"
32036774,"Malik, Yashpal Singh # Sircar, Shubhankar # Bhat, Sudipta # Sharun, Khan # Dhama, Kuldeep # Dadar, Maryam # Tiwari, Ruchi # Chaicumpa, Wanpen"
32402329,"Decaro, Nicola # Lorusso, Alessio"
32116147,"Henwood, Anthony F"
32306751,"Jogalekar, Manasi P # Veerabathini, Anurag # Gangadaran, Prakash"
32584199,"Rajapakse, Nipunie # Dixit, Devika"
32218151,"Srinivasan, Suhas # Cui, Hongzhu # Gao, Ziyang # Liu, Ming # Lu, Senbao # Mkandawire, Winnie # Narykov, Oleksandr # Sun, Mo # Korkin, Dmitry"
32019669,"Riou, Julien # Althaus, Christian L"
32004758,"Paraskevis, D # Kostaki, E G # Magiorkinis, G # Panayiotakopoulos, G # Sourvinos, G # Tsiodras, S"
32544437,"Han, Guan"
32473952,"Widders, Arabella # Broom, Alex # Broom, Jennifer"
32860259,"Centeno # Medina # Finkelstein, Julia L # Rayco # Garcia # Rogers, Lisa # Ghezzi # Ridwan, Pratiwi # Peña # Mehta, Saurabh"
33100439,"Chellasamy, Gayathri # Arumugasamy, Shiva Kumar # Govindaraju, Saravanan # Yun, Kyusik"
32655532,"Dev Kumar, Govindaraj # Mishra, Abhinav # Dunn, Laurel # Townsend, Anna # Oguadinma, Ikechukwu Chukwuma # Bright, Kelly R # Gerba, Charles P"
32437316,"Martines, Roosecelis B # Ritter, Jana M # Matkovic, Eduard # Gary, Joy # Bollweg, Brigid C # Bullock, Hannah # Goldsmith, Cynthia S # Silva # Seixas, Josilene N # Reagan # Uyeki, Timothy # Denison, Amy # Bhatnagar, Julu # Shieh, Wun # Zaki, Sherif R"
32518634,"Nowak, Jan K # Walkowiak, Jaroslaw"
32071427,"Nguyen, Tuan M # Zhang, Yang # Pandolfi, Pier Paolo"
32316618,"Mungroo, Mohammad Ridwane # Khan, Naveed Ahmed # Siddiqui, Ruqaiyyah"
32074516,"Shirato, Kazuya # Nao, Naganori # Katano, Harutaka # Takayama, Ikuyo # Saito, Shinji # Kato, Fumihiro # Katoh, Hiroshi # Sakata, Masafumi # Nakatsu, Yuichiro # Mori, Yoshio # Kageyama, Tsutomu # Matsuyama, Shutoku # Takeda, Makoto"
32368755,"Coyle, Justin # Igbinomwanhia, Efehi # Sanchez # Danciu, Sorin # Chu, Chae # Shah, Nishit"
32495921,"Prajapati, S # Sharma, M # Kumar, A # Gupta, P # Narasimha Kumar, G V"
32335340,"Amirian, E Susan"
32574317,"Chrzanowski, Wojciech # Kim, Sally Yunsun # McClements, Lana"
32364890,"Furukawa, Nathan W # Brooks, John T # Sobel, Jeremy"
